,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
373,Madrassi Sandr,Rally4/R2,4,Prealpi,10/12/2023,gravel,-,67,387.0,365.2,319.2,67.80000000000001,21.80000000000001,5.969331872946334,04
374,Pignani Elia  ,Rally4/R2,4,Prealpi,10/12/2023,gravel,-,79,397.0,365.2,319.2,77.80000000000001,31.80000000000001,8.70755750273823,04
375,Dalla Vecchia ,Rally4/R2,4,Prealpi,10/12/2023,gravel,-,89,425.0,365.2,319.2,105.80000000000001,59.80000000000001,16.374589266155535,04
380,Ramponi Paolo ,Rally4 Under 25,4,Prealpi,10/12/2023,gravel,-,43,371.0,371.0,319.2,51.80000000000001,0.0,0.0,04
381,Penello Andrea,Rally4 Under 25,4,Prealpi,10/12/2023,gravel,-,76,394.7,371.0,319.2,75.5,23.69999999999999,6.388140161725064,04
382,Favero Marco  ,Rally4/R2 Under 25,4,Prealpi,10/12/2023,gravel,-,50,375.1,375.1,319.2,55.900000000000034,0.0,0.0,04
383,Nardi Devid  -,Rally4/R2 Under 25,4,Prealpi,10/12/2023,gravel,-,52,375.8,375.1,319.2,56.60000000000002,0.6999999999999886,0.18661690215942112,04
442,Cocco Giovanni,Rally4,5,Prealpi,10/12/2023,gravel,-,31,354.4,354.4,316.7,37.69999999999999,0.0,0.0,05
443,Prosenc Borut ,Rally4,5,Prealpi,10/12/2023,gravel,-,32,355.0,354.4,316.7,38.30000000000001,0.6000000000000227,0.16930022573364076,05
444,De Tisi Pietro,Rally4,5,Prealpi,10/12/2023,gravel,-,34,356.7,354.4,316.7,40.0,2.3000000000000114,0.6489841986456014,05
445,Toffoli Bryan ,Rally4,5,Prealpi,10/12/2023,gravel,-,35,359.1,354.4,316.7,42.400000000000034,4.7000000000000455,1.3261851015801482,05
446,Diserò Luca  -,Rally4,5,Prealpi,10/12/2023,gravel,-,40,362.3,354.4,316.7,45.60000000000002,7.900000000000034,2.229119638826195,05
447,Casonato Rober,Rally4,5,Prealpi,10/12/2023,gravel,-,41,362.7,354.4,316.7,46.0,8.300000000000011,2.3419864559819445,05
448,Pagnan Alex  -,Rally4,5,Prealpi,10/12/2023,gravel,-,44,364.4,354.4,316.7,47.69999999999999,10.0,2.8216704288939054,05
449,Frigo Giulio  ,Rally4,5,Prealpi,10/12/2023,gravel,-,45,365.3,354.4,316.7,48.60000000000002,10.900000000000034,3.0756207674943665,05
450,Gheno Tobia  -,Rally4,5,Prealpi,10/12/2023,gravel,-,48,366.6,354.4,316.7,49.900000000000034,12.200000000000045,3.4424379232505777,05
