,Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
59,60, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:11:46.2,+00:03:22.2,8
60,61, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:11:48.8,+00:03:24.8,8
61,62, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:12:13.4,+00:03:49.4,8
62,63, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:12:53.7,+00:04:29.7,8
63,64, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:13:25.6,+00:05:01.6,8
64,65, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:13:34.8,+00:05:10.8,8
65,66, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:18:08.3,+00:09:44.3,8
66,67, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:18:51.3,+00:10:27.3,8
67,68, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:18:51.3,+00:10:27.3,8
68,69, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:18:51.3,+00:10:27.3,8
69,70, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:18:51.3,+00:10:27.3,8
70,71, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:19:58.6,+00:11:34.6,8
71,72, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:19:58.6,+00:11:34.6,8
72,73, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:20:10.2,+00:11:46.2,8
73,74, Pierre PERGOLA Fabrice CORONA,Volkswagen Polo GTI,62,,+,8
0,1, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:09:05.5,+00:00:00,9
1,2, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:09:06.1,+00:00:00.6,9
2,3, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:09:08,+00:00:02.5,9
3,4, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:09:08.2,+00:00:02.7,9
4,5, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:09:11.3,+00:00:05.8,9
5,6, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:09:15.3,+00:00:09.8,9
6,7, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:09:19.7,+00:00:14.2,9
7,8, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:09:25.2,+00:00:19.7,9
8,9, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:09:25.5,+00:00:20,9
9,10, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:09:30.4,+00:00:24.9,9
10,11, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:09:35,+00:00:29.5,9
11,12, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:09:39.6,+00:00:34.1,9
12,13, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:09:39.6,+00:00:34.1,9
13,14, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:09:40.3,+00:00:34.8,9
14,15, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:09:43.3,+00:00:37.8,9
15,16, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:09:44.6,+00:00:39.1,9
16,17, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:09:48.5,+00:00:43,9
17,18, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:09:48.5,+00:00:43,9
18,19, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:09:57.1,+00:00:51.6,9
19,20, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:09:58,+00:00:52.5,9
20,21, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:09:59.1,+00:00:53.6,9
21,22, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:10:02.5,+00:00:57,9
22,23, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:10:11.4,+00:01:05.9,9
23,24, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:10:15.1,+00:01:09.6,9
24,25, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:10:15.5,+00:01:10,9
25,26, Alessandro GINO Daniele MICHI,Citroen C3,53,00:10:19.4,+00:01:13.9,9
26,27, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:10:20.2,+00:01:14.7,9
27,28, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:10:21.5,+00:01:16,9
28,29, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:10:26.5,+00:01:21,9
29,30, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:10:38.2,+00:01:32.7,9
30,31, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:10:41.2,+00:01:35.7,9
31,32, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:10:44.2,+00:01:38.7,9
32,33, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:10:44.8,+00:01:39.3,9
33,34, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:10:45.7,+00:01:40.2,9
34,35, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:10:46.3,+00:01:40.8,9
35,36, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:10:47.4,+00:01:41.9,9
36,37, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:10:52.8,+00:01:47.3,9
37,38, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:10:53.2,+00:01:47.7,9
38,39, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:10:57.2,+00:01:51.7,9
39,40, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:10:57.3,+00:01:51.8,9
40,41, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:10:58.6,+00:01:53.1,9
41,42, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:11:02.4,+00:01:56.9,9
42,43, Eamonn BOLAND MJ ,Citroen C3,42,00:11:02.6,+00:01:57.1,9
43,44, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:11:04.4,+00:01:58.9,9
44,45, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:11:06.3,+00:02:00.8,9
45,46, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:11:08.2,+00:02:02.7,9
46,47, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:11:11.3,+00:02:05.8,9
47,48, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:11:13.5,+00:02:08,9
48,49, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:11:13.6,+00:02:08.1,9
49,50, Eric ROYERE Gilbert DINI,Alpine A110,64,00:11:15.3,+00:02:09.8,9
50,51, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:11:18.5,+00:02:13,9
51,52, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:11:19.1,+00:02:13.6,9
52,53, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:11:23.6,+00:02:18.1,9
53,54, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:11:35.8,+00:02:30.3,9
54,55, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:11:36.9,+00:02:31.4,9
55,56, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:11:38.7,+00:02:33.2,9
56,57, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:11:38.8,+00:02:33.3,9
57,58, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:11:40.4,+00:02:34.9,9
58,59, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:11:47.7,+00:02:42.2,9
59,60, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:12:04.6,+00:02:59.1,9
60,61, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:12:08.5,+00:03:03,9
61,62, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:12:09,+00:03:03.5,9
62,63, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:12:09.2,+00:03:03.7,9
63,64, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:12:19.9,+00:03:14.4,9
64,65, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:12:21,+00:03:15.5,9
65,66, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:12:33.1,+00:03:27.6,9
66,67, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:12:38,+00:03:32.5,9
67,68, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:12:52.2,+00:03:46.7,9
68,69, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:13:30.7,+00:04:25.2,9
69,70, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:13:50.7,+00:04:45.2,9
70,71, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:13:58.1,+00:04:52.6,9
71,72, Richard FRAU Stephane MARQUEZ,Alpine A110,63,00:14:15.1,+00:05:09.6,9
72,73, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,,+,9
