Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Pajari Sami - ,RC2,8,Acropolis 2023,9/2023,Gravel,Wrc,16,1076.9
Fourmaux Adrie,RC2,8,Acropolis 2023,9/2023,Gravel,Wrc,17,1082.4
Marczyk Mikoła,RC2,8,Acropolis 2023,9/2023,Gravel,Wrc,18,1084.6
Virves Robert ,RC2,8,Acropolis 2023,9/2023,Gravel,Wrc,19,1090.8
Prokop Martin ,RC2,8,Acropolis 2023,9/2023,Gravel,Wrc,20,1097.8
Creighton Will,RC3,8,Acropolis 2023,9/2023,Gravel,Wrc,21,1132.6
Kechagias Gior,RC2,8,Acropolis 2023,9/2023,Gravel,Wrc,22,1139.1
Karanikolas E.,RC3,8,Acropolis 2023,9/2023,Gravel,Wrc,23,1158.5
Kelly Eamonn -,RC3,8,Acropolis 2023,9/2023,Gravel,Wrc,24,1165.4
Serderidis Jou,RC1,8,Acropolis 2023,9/2023,Gravel,Wrc,25,1170.6
Anwar Hamza - ,RC3,8,Acropolis 2023,9/2023,Gravel,Wrc,26,1170.6
Rensonnet Tom ,RC3,8,Acropolis 2023,9/2023,Gravel,Wrc,27,1175.9
Karellis C. - ,RC2,8,Acropolis 2023,9/2023,Gravel,Wrc,28,1176.2
Lappi Esapekka,RC1,8,Acropolis 2023,9/2023,Gravel,Wrc,29,1178.0
Xanthakos Mari,RC2,8,Acropolis 2023,9/2023,Gravel,Wrc,30,1182.6
